FileName,Leaf#,Total Leaf Size (cm2),Leaf Full Size (cm2) ,Leaf Empty Size (cm2),Leaf Height,Leaf Width,,WinFOLIA Reg 2016b,LeafArea [cm²],TotHolesArea [cm²],VertLength [cm],HorizWidth [cm],,,DIFFERENCES,LeafArea [cm²],TotHolesArea [cm²],VertLength [cm],HorizWidth [cm]
BJ4-3792-lf-00_ed,1,27.72585152,27.33634188,0.389509642,15.2859116,3.219433594,,BJ4-3792-lf-00,27.3171,0.3942,15.3247,3.1242,,,,0.019241883,-0.004690358,-0.038788398,0.095233594
BJ4-3792-lf-00_ed,2,20.16027872,20.15523108,0.005047641,13.11049724,2.523339844,,BJ4-3792-lf-00,20.0741,0.0048,13.1572,2.5485,,,,0.081131084,0.000247641,-0.046702762,-0.025160156
BJ4-3792-lf-00_ed,3,58.26492171,58.2270644,0.037857309,19.98480663,5.249707031,,BJ4-3792-lf-00,58.3149,1.612,20.6333,4.8345,,,,-0.087835595,-1.574142691,-0.64849337,0.415207031
BJ4-3792-lf-00_ed,4,46.8454749,45.42708774,1.418387161,20.94198895,4.234570313,,BJ4-3792-lf-00,45.2692,2.5981,21.0143,4.2333,,,,0.15788774,-1.179712839,-0.07231105,0.001270312
BJ4-3792-lf-00_ed,5,75.87109402,75.35875844,0.512335576,24.85773481,5.742773438,,BJ4-3792-lf-00,75.2126,2.1513,24.9089,5.4017,,,,0.146158444,-1.638964424,-0.051165193,0.341073438
BJ4-3792-lf-00_ed,6,47.51512863,45.95540751,1.559721113,21.20303867,4.553613281,,BJ4-3792-lf-00,45.4833,1.2976,21.2344,4.1825,,,,0.472107513,0.262121113,-0.031361326,0.371113281
BJ4-3792-lf-00_ed,7,78.21572333,77.61421276,0.60151057,24.16160221,5.249707031,,BJ4-3792-lf-00,77.6169,1.1814,24.1893,5.1816,,,,-0.002687239,-0.57988943,-0.02769779,0.068107031
BJ4-3792-lf-00_ed,8,53.22401076,51.91078279,1.313227971,20.79696133,4.901660156,,BJ4-3792-lf-00,51.9549,1.3056,20.8449,4.9445,,,,-0.044117212,0.007627971,-0.047938674,-0.042839844
BJ4-3792-lf-00_ed,9,100.22428,100.0585491,0.165730884,27.52624309,6.351855469,,BJ4-3792-lf-00,99.9977,0.1674,27.5929,6.35,,,,0.060849103,-0.001669116,-0.066656906,0.001855469
BJ4-3792-lf-00_ed,10,29.56066908,28.84053894,0.720130136,15.45994475,3.393457031,,BJ4-3792-lf-00,28.6741,0.7254,15.4432,3.2681,,,,0.166438944,-0.005269864,0.016744751,0.125357031
BJ4-3800-lf-01_ed,1,167.2922879,167.2081605,0.084127352,26.80110497,10.61542969,,BJ4-3800-lf-01,167.1421,0.0877,26.8393,10.5664,,,,0.066060502,-0.003572648,-0.038195028,0.049029688
BJ4-3800-lf-01_ed,2,124.113083,124.0853209,0.027762026,21.87016575,9.426269531,,BJ4-3800-lf-01,123.8763,0.0281,21.8863,9.2964,,,,0.209020944,-0.000337974,-0.016134254,0.129869531
BJ4-3800-lf-01_ed,3,281.4177715,278.4497586,2.968012992,31.52900552,14.90800781,,BJ4-3800-lf-01,278.3449,3.0259,31.5129,14.8505,,,,0.104858557,-0.057887008,0.016105525,0.057507812
BJ4-3821-lf-d1_ed,1,439.5595273,439.5595273,0,37.5621547,20.91181641,,BJ4-3821-lf-04,439.955,12.7895,37.6343,20.9211,,,,-0.395472716,-12.7895,-0.072145304,-0.009283594
BO4-3916-lf-01_ed,1,126.3416165,126.3416165,0,39.53453039,4.698632813,,BO4-3916-lf-a1,126.3629,0.4113,39.5478,4.5466,,,,-0.021283465,-0.4113,-0.013269613,0.152032813
BO4-3916-lf-01_ed,2,163.8085742,163.8085742,0,36.37292818,5.249707031,,BO4-3916-lf-a1,163.6787,0.0422,36.3982,5.0377,,,,0.129874192,-0.0422,-0.025271823,0.212007031
R11-4066-lf-00_ed,1,8.67100621,8.507799146,0.163207064,6.468232044,1.62421875,,R11-4066-lf-00,8.487,0.4639,6.7056,1.651,,,,0.020799146,-0.300692936,-0.237367956,-0.02678125
R11-4066-lf-00_ed,2,11.03498481,10.46544264,0.569542176,8.29558011,1.943261719,,R11-4066-lf-00,10.3455,0.7849,8.3566,1.6171,,,,0.119942636,-0.215357824,-0.06101989,0.326161719
R11-4066-lf-00_ed,3,9.529105204,9.469374784,0.05973042,6.845303867,1.798242188,,R11-4066-lf-00,9.4158,0.0609,6.8749,1.6425,,,,0.053574784,-0.00116958,-0.029596133,0.155742188
